id,title,author,copies
101,The Great Gatsby,F. Scott Fitzgerald,5
102,To Kill a Mockingbird,Harper Lee,3
103,1984,George Orwell,5
104,Pride and Prejudice,Jane Austen,3
105,The Catcher in the Rye,J.D. Salinger,4
106,The Hobbit,J.R.R. Tolkien,7
107,Moby Dick,Herman Melville,2
108,War and Peace,Leo Tolstoy,3
109,Jane Eyre,Charlotte Brontë,5
110,The Odyssey,Homer,4
111,Brave New World,Aldous Huxley,6
112,Crime and Punishment,Fyodor Dostoevsky,3
113,Wuthering Heights,Emily Brontë,4
114,The Lord of the Rings,J.R.R. Tolkien,8
115,The Alchemist,Paulo Coelho,5
116,The Kite Runner,Khaled Hosseini,4
117,Harry Potter and the Sorcerer's Stone,J.K. Rowling,10
118,The Da Vinci Code,Dan Brown,6
119,Animal Farm,George Orwell,7
120,The Shining,Stephen King,3
121,Dracula,Bram Stoker,2
122,The Girl with the Dragon Tattoo,Stieg Larsson,4
123,The Hunger Games,Suzanne Collins,5
124,The Fault in Our Stars,John Green,4
125,Life of Pi,Yann Martel,3
126,The Book Thief,Markus Zusak,5
127,Gone Girl,Gillian Flynn,3
128,The Chronicles of Narnia,C.S. Lewis,7
129,The Secret Garden,Frances Hodgson Burnett,3
130,The Picture of Dorian Gray,Oscar Wilde,4
131,A Tale of Two Cities,Charles Dickens,3
132,Les Misérables,Victor Hugo,2
133,The Time Machine,H.G. Wells,3
134,Frankenstein,Mary Shelley,2
135,The Color Purple,Alice Walker,4
136,Of Mice and Men,John Steinbeck,5
137,Lord of the Flies,William Golding,4
138,The Little Prince,Antoine de Saint-Exupéry,6
139,Catch-22,Joseph Heller,2
140,The Bell Jar,Sylvia Plath,3
141,The Road,Cormac McCarthy,3
142,Beloved,Toni Morrison,2
143,A Thousand Splendid Suns,Khaled Hosseini,5
144,Slaughterhouse-Five,Kurt Vonnegut,3
145,The Giver,Lois Lowry,4
146,The Handmaid's Tale,Margaret Atwood,3
147,Don Quixote,Miguel de Cervantes,2
148,The Stranger,Albert Camus,3
149,The Maze Runner,James Dashner,4
150,Dune,Frank Herbert,6
151,kon banega crorepati,Kailash Mahto,5
